user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Mojito,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1
Peach Crush,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,-1,1,0,-1,-1,1,-1,0,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,0,1,-1,1
Old Fashioned,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
Blue Hawaii,-1,0,0,1,-1,0,1,-1,1,1,-1,1,1,1,-1,0,1,1,1,1,-1,1,0,-1,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,0,0,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,1,1
Long Island Tea,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,0,-1,-1,1,-1,0,-1,-1,-1,-1,0,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
Dry Martini,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Apple Martini,-1,1,0,1,-1,0,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,-1,-1,1
Margarita,1,-1,1,-1,-1,1,1,-1,1,-1,-1,0,-1,1,-1,1,-1,0,1,1,1,-1,0,1,-1,1,-1,0,-1,-1,-1,-1,0,1,-1,1,-1,-1,1,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Manhattan,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,-1,1,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jin tonic,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,0,1,1,1,1,0,1,-1,-1,1,1,1,-1,0,-1,-1,1,-1,-1,0,0,-1,-1,1,-1,1,1,1,0,-1,1,-1,1,-1,1,1,-1,-1,0
Cosmopolitan,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1
Kahlua Milk,1,0,0,1,-1,0,1,-1,-1,0,-1,0,1,1,-1,1,1,0,1,1,1,1,0,-1,-1,0,1,0,-1,1,-1,1,1,1,0,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,0,-1,-1,0
June Bug,-1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1
Tequila Sunrise,-1,1,1,0,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,1,0,1,1,-1,1,1,-1,0,-1,0,-1,-1,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1
Barcardi,1,0,0,1,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,-1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,0,-1,0,-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1
Vodca & tonic,-1,-1,0,1,-1,0,1,-1,1,0,-1,1,0,1,-1,-1,1,1,1,1,1,-1,0,1,-1,0,1,0,1,1,-1,0,1,1,-1,1,-1,1,1,-1,-1,0,1,0,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,0,-1,-1,-1
Whiskey sour,-1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
God Father,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,1,1,-1,0,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
Screw Driver,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,0,1,1,1,-1,1,1,-1,0,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
Midori sour,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,1,-1,0,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1
Jack Coke,-1,1,1,1,0,1,0,1,-1,1,-1,1,1,1,-1,-1,1,0,1,0,1,-1,1,1,-1,1,0,0,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,1
Jägerbomb,0,1,0,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,0,1,1,1,0,-1,1,0,1,0,1,-1,-1,0,1,0,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,0,1,0,-1,1,1,-1,1,0,-1,-1,1,1
